,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
19022,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Monitoring and Controlling Resources,Monitoring and Controlling Resources
19023,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Monitoring and Controlling Resources,Monitoring and Controlling Resources
19024,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19025,Making Decisions and Solving Problems,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment
19026,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
19027,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment
19028,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment
19029,"Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
19030,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19031,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects
19032,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities
19033,"Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes,Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities
19034,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19035,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19036,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes
19037,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes
19038,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19039,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19040,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19041,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19042,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
19043,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
19044,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing Administrative Activities,Documenting/Recording Information
19045,Handling and Moving Objects,Controlling Machines and Processes,Performing Administrative Activities,Handling and Moving Objects,Handling and Moving Objects
19046,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19047,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19048,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Training and Teaching Others
19049,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
19050,Working with Computers,Working with Computers,Working with Computers,Controlling Machines and Processes,Working with Computers
19051,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
19052,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
19053,Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
19054,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities
19055,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Analyzing Data or Information,Analyzing Data or Information
19056,Handling and Moving Objects,Handling and Moving Objects,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Analyzing Data or Information,Analyzing Data or Information
19057,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
19058,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
19059,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
19060,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Performing General Physical Activities
19061,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19062,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
19063,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19064,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19065,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Performing for or Working Directly with the Public,Handling and Moving Objects
19066,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19067,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19068,Performing General Physical Activities,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
19069,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19070,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
19071,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
